schoolid_cps,schoolname_cps,fullname_cps,schoolname2_cps,isbe_name_cps,street_number_cps,street_direction_cps,street_name_cps,city_cps,state_cps,zip_cps,cps_unit_cps,oracleid_cps,school_category_cps,community_area_number_cps,community_area_cps,geographicarea_cps,geographic_area_number_cps,cook_county_district_cps,census_block_cps,latitude_cps,longitude_cps,ncessch_num_cps,ncessch_cps,census_tract_cps
610316,Earhart,Amelia Earhart Options for Knowledge ES,Earhart,Earhart Elem Opt for Knowl School,1710,E,93rd St,Chicago,IL,60617,7450.0,26441,ES,48.0,Calumet Heights,South Shore,11.0,4.0,170314804004019,41.9052932887,-87.68579293,170993000859,_170993000859,17031480400
610067,Mckay,Francis M McKay Elementary School,Mckay,Mckay Elem School,6901,S,Fairfield Ave,Chicago,IL,60629,4760.0,24451,ES,66.0,Chicago Lawn,Chicago Lawn,8.0,2.0,170316609003022,41.7754233487,-87.6093938647999,170993000958,_170993000958,17031660900
610566,Bridgescape Academy Of North Lawndale,Magic Johnson Bridgescape Academy North Lawndale,Bridgescape Academy Of North Lawndale,,,,,Chicago,IL,60624,9631.0,,HS,29.0,North Lawndale,North Lawndale,19.0,2.0,170318430001029,41.8084399753999,-87.6775423668999,,_,17031843000
609834,Little Village,Little Village Elementary School,Little Village,Little Village Elem School,2620,S,Lawndale Ave,Chicago,IL,60623,2590.0,22521,ES,30.0,South Lawndale,Pilsen - Little Village,16.0,7.0,170313017011004,41.795030382,-87.7915811457999,170993001608,_170993001608,17031301701
610313,Diego,Jose De Diego Elementary Community Academy,Diego,De Diego Elem Community Academy,1313,N,Claremont Ave,Chicago,IL,60622,7420.0,31261,ES,24.0,West Town,Humboldt Park,21.0,12.0,170312412002011,41.8835687675,-87.6694399965,170993000643,_170993000643,17031241200
400112,Uno Chtr - 51st - Homan,UNO 51st and Homan Charter Elementary School,Uno Chtr - 51st - Homan,UNO Network Charter School,5050,S,Homan Ave,Chicago,IL,60632,8671.0,66399,ES,63.0,Gage Park,McKinley Park,17.0,7.0,170316303002004,41.801043391,-87.7087601321999,,_,17031630300
610170,Columbia Explorers,Columbia Explorers Elementary Academy,Columbia Explorers,Columbia Explorers Elem Academy,4520,S,Kedzie Ave,Chicago,IL,60632,5860.0,20071,ES,58.0,Brighton Park,McKinley Park,17.0,7.0,170315804002003,41.9304025456,-87.7612272034999,170993004277,_170993004277,17031580400
400102,Urban Prep Chtr - West,Urban Prep Academy for Young Men - West,Urban Prep Chtr - West,Urban Prep Chtr Acad West Campus HS,1326,W,14th Pl,Chicago,IL,60608,8096.0,63071,HS,28.0,Near West Side,Near West,23.0,2.0,170318429003010,41.8625125845999,-87.6601057206,170993006094,_170993006094,17031842900
400045,Nkrumah Contr,Kwame Nkrumah Academy Elementary School,Nkrumah Contr,Nkrumah Academy Charter School,,,,Chicago,IL,St,2055.0,63041,ES,71.0,Auburn Gresham,Far South Side,22.0,4.0,170317110002014,41.698021,87.631063,170993006034,_170993006034,17031711000
610139,Pullman,George M Pullman Elementary School,Pullman,Pullman Elem School,11311,S,Forrestville Ave,Chicago,IL,60628,5530.0,25041,ES,50.0,Pullman,Far South Side,22.0,4.0,170315003002011,41.9656197799999,-87.7723774098,170993001046,_170993001046,17031500300
