oracle_id,school_name,FY 2017 Ending Budget
22991,James R Doolittle Jr Intermediate & Upper Cycle East,2901583
24251,James Russell Lowell Elementary School,5483099
25361,James Shields Elementary School,7888597
27091,James Shields Middle School,5853286
25711,James Wadsworth School,5472187
25751,James Ward Elementary School,4726235
26231,James Weldon Johnson Elementary School of Excellence,4120752
24651,Jane A Neil School,5219750
22021,Jane Addams School,6058245
22201,Jean Baptiste Beaubien School,8004748
29341,Jensen Scholastic Academy School,4296356
31071,Jesse Owens Community Academy,44
23351,Jesse Owens Elementary Community Academy,4707719
25351,Jesse Sherwood School,3679338
69585,Jewish Children Family Services,21447
69314,Joan Dachs Bais Yaakov Elem,182701
25731,John A Walsh Elementary School,4202541
23011,John B Drake School,4676622
24621,John B Murphy School,5001630
22141,John Barry Elementary School,5676854
22481,John C Burroughs School,4351379
22821,John C Coonley School,7588111
23001,John C Dore School,5418261
23481,John C Haines School,5338809
26001,John Calhoun North School,250
25381,John D Shoop Elementary School,4259531
23041,John F Eberhart School,11006222
46201,John F Kennedy High School,15442674
23221,John Fiske School,4755473
26141,John Foster Dulles Elementary School of Excellence,5672042
25861,John Greenleaf Whittier School,2979018
23441,John Gregory School,3622913
23511,John H Hamline Elementary School,5749009
24071,John H Kinzie Elementary School,7301698
29311,John H Vanderpoel Magnet School,2922779
23581,John Harvard Elementary School of Excellence,3832577
31111,John Hay Community Academy School,3746255
29251,John J. Pershing East Magnet School,5521636
26871,John J. Pershing West Magnet School for the Humanities,63760
24361,John L Marsh School,6992593
24821,John M Palmer School,6856758
25411,John M Smyth Elementary School,5214940
47041,John Marshall Metropolitan High School,5789239
25451,John Spry Community School,5399286
26201,John T Mccutcheon School,5242634
24971,John T Pirie Fine Arts & Academic Center,3132124
22801,John W Cook Elementary School,4035258
23301,John W Garvy School,6123254
25831,John Whistler Elementary School,3043687
26751,Johnnie Colemon School,2561090
22471,Jonathan Burr Elementary School,3738975
25241,Jonathan Y Scammon School,6309744
22811,Jordan Community School,4951293
31261,Jose De Diego Community Academy,6562473
23411,Josefa Ortiz De Dominguez Elementary School New Gary,5230797
25991,Joseph Brennemann School,4456262
23311,Joseph E Gary School,8971156
23961,Joseph Jungman School,3447013
23251,Joseph Kellman Corporate Community School,3251603
24241,Joseph Lovett School,3890209
25502,Joseph Stockton Child-Parent-Center - Stockton,27962
